indicator,indicator_type,meta.source,meta.do_notice,meta.desc
8.141.112.241,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.141.112.241,Intel::ADDR,ABUSE-CH,F,THREATFOX
18.199.40.209,Intel::ADDR,ABUSE-CH,F,THREATFOX
18.199.40.209,Intel::ADDR,ABUSE-CH,F,THREATFOX
46.246.84.12,Intel::ADDR,ABUSE-CH,F,THREATFOX
46.246.84.12,Intel::ADDR,ABUSE-CH,F,THREATFOX
46.246.84.12,Intel::ADDR,ABUSE-CH,F,THREATFOX
46.246.84.12,Intel::ADDR,ABUSE-CH,F,THREATFOX
103.20.102.130,Intel::ADDR,ABUSE-CH,F,THREATFOX
103.20.102.130,Intel::ADDR,ABUSE-CH,F,THREATFOX
185.221.215.43,Intel::ADDR,ABUSE-CH,F,THREATFOX
185.221.215.43,Intel::ADDR,ABUSE-CH,F,THREATFOX
31.129.42.36,Intel::ADDR,ABUSE-CH,F,THREATFOX
31.129.42.36,Intel::ADDR,ABUSE-CH,F,THREATFOX
216.144.226.242,Intel::ADDR,ABUSE-CH,F,THREATFOX
216.144.226.242,Intel::ADDR,ABUSE-CH,F,THREATFOX
207.154.205.11,Intel::ADDR,ABUSE-CH,F,THREATFOX
207.154.205.11,Intel::ADDR,ABUSE-CH,F,THREATFOX
45.66.11.61,Intel::ADDR,ABUSE-CH,F,THREATFOX
45.66.11.61,Intel::ADDR,ABUSE-CH,F,THREATFOX
124.221.237.102,Intel::ADDR,ABUSE-CH,F,THREATFOX
124.221.237.102,Intel::ADDR,ABUSE-CH,F,THREATFOX
176.123.1.88,Intel::ADDR,ABUSE-CH,F,THREATFOX
69.195.129.139,Intel::ADDR,ABUSE-CH,F,THREATFOX
50.114.203.169,Intel::ADDR,ABUSE-CH,F,THREATFOX
89.148.132.137,Intel::ADDR,ABUSE-CH,F,THREATFOX
69.157.7.180,Intel::ADDR,ABUSE-CH,F,THREATFOX
54.70.49.188,Intel::ADDR,ABUSE-CH,F,THREATFOX
5.183.219.132,Intel::ADDR,ABUSE-CH,F,THREATFOX
43.205.82.171,Intel::ADDR,ABUSE-CH,F,THREATFOX
34.47.220.91,Intel::ADDR,ABUSE-CH,F,THREATFOX
217.165.159.39,Intel::ADDR,ABUSE-CH,F,THREATFOX
20.188.119.195,Intel::ADDR,ABUSE-CH,F,THREATFOX
187.170.167.53,Intel::ADDR,ABUSE-CH,F,THREATFOX
176.113.82.154,Intel::ADDR,ABUSE-CH,F,THREATFOX
148.178.88.240,Intel::ADDR,ABUSE-CH,F,THREATFOX
148.178.92.187,Intel::ADDR,ABUSE-CH,F,THREATFOX
